week_id,start_of_week,end_of_week,holiday_type,holiday_date
123,1992-01-16,1992-01-22,"USInaugurationDay, USMLKingsBirthday","1992-01-20, 1992-01-20"
124,1992-01-23,1992-01-29,NA,NA
125,1992-01-30,1992-02-05,NA,NA
126,1992-02-06,1992-02-12,USLincolnsBirthday,1992-02-12
127,1992-02-13,1992-02-19,USPresidentsDay,1992-02-17
128,1992-02-20,1992-02-26,USWashingtonsBirthday,1992-02-22
129,1992-02-27,1992-03-04,USCPulaskisBirthday,1992-03-02
130,1992-03-05,1992-03-11,NA,NA
131,1992-03-12,1992-03-18,NA,NA
132,1992-03-19,1992-03-25,NA,NA
133,1992-03-26,1992-04-01,NA,NA
134,1992-04-02,1992-04-08,NA,NA
135,1992-04-09,1992-04-15,NA,NA
136,1992-04-16,1992-04-22,USGoodFriday,1992-04-17
137,1992-04-23,1992-04-29,NA,NA
138,1992-04-30,1992-05-06,NA,NA
139,1992-05-07,1992-05-13,NA,NA
140,1992-05-14,1992-05-20,NA,NA
141,1992-05-21,1992-05-27,USMemorialDay,1992-05-25
142,1992-05-28,1992-06-03,USDecorationMemorialDay,1992-05-30
143,1992-06-04,1992-06-10,NA,NA
144,1992-06-11,1992-06-17,NA,NA
145,1992-06-18,1992-06-24,NA,NA
146,1992-06-25,1992-07-01,NA,NA
147,1992-07-02,1992-07-08,USIndependenceDay,1992-07-04
148,1992-07-09,1992-07-15,NA,NA
149,1992-07-16,1992-07-22,NA,NA
150,1992-07-23,1992-07-29,NA,NA
151,1992-07-30,1992-08-05,NA,NA
152,1992-08-06,1992-08-12,NA,NA
153,1992-08-13,1992-08-19,NA,NA
154,1992-08-20,1992-08-26,NA,NA
155,1992-08-27,1992-09-02,NA,NA
156,1992-09-03,1992-09-09,USLaborDay,1992-09-07
157,1992-09-10,1992-09-16,NA,NA
158,1992-09-17,1992-09-23,NA,NA
159,1992-09-24,1992-09-30,NA,NA
160,1992-10-01,1992-10-07,NA,NA
161,1992-10-08,1992-10-14,USColumbusDay,1992-10-12
162,1992-10-15,1992-10-21,NA,NA
163,1992-10-22,1992-10-28,NA,NA
164,1992-10-29,1992-11-04,"USElectionDay, USHalloween","1992-11-03, 1992-10-31"
165,1992-11-05,1992-11-11,USVeteransDay,1992-11-11
166,1992-11-12,1992-11-18,NA,NA
167,1992-11-19,1992-11-25,NA,NA
168,1992-11-26,1992-12-02,USThanksgivingDay,1992-11-26
169,1992-12-03,1992-12-09,NA,NA
170,1992-12-10,1992-12-16,NA,NA
171,1992-12-17,1992-12-23,NA,NA
172,1992-12-24,1992-12-30,USChristmasDay,1992-12-25
173,1992-12-31,1993-01-06,USNewYearsDay,1993-01-01
174,1993-01-07,1993-01-13,NA,NA
175,1993-01-14,1993-01-20,"USInaugurationDay, USMLKingsBirthday","1993-01-20, 1993-01-18"
176,1993-01-21,1993-01-27,NA,NA
177,1993-01-28,1993-02-03,NA,NA
178,1993-02-04,1993-02-10,NA,NA
179,1993-02-11,1993-02-17,"USLincolnsBirthday, USPresidentsDay","1993-02-12, 1993-02-15"
180,1993-02-18,1993-02-24,USWashingtonsBirthday,1993-02-22
181,1993-02-25,1993-03-03,USCPulaskisBirthday,1993-03-01
182,1993-03-04,1993-03-10,NA,NA
183,1993-03-11,1993-03-17,NA,NA
184,1993-03-18,1993-03-24,NA,NA
185,1993-03-25,1993-03-31,NA,NA
186,1993-04-01,1993-04-07,NA,NA
187,1993-04-08,1993-04-14,USGoodFriday,1993-04-09
188,1993-04-15,1993-04-21,NA,NA
189,1993-04-22,1993-04-28,NA,NA
190,1993-04-29,1993-05-05,NA,NA
191,1993-05-06,1993-05-12,NA,NA
192,1993-05-13,1993-05-19,NA,NA
193,1993-05-20,1993-05-26,NA,NA
194,1993-05-27,1993-06-02,"USDecorationMemorialDay, USMemorialDay","1993-05-30, 1993-05-31"
195,1993-06-03,1993-06-09,NA,NA
196,1993-06-10,1993-06-16,NA,NA
197,1993-06-17,1993-06-23,NA,NA
198,1993-06-24,1993-06-30,NA,NA
199,1993-07-01,1993-07-07,USIndependenceDay,1993-07-04
200,1993-07-08,1993-07-14,NA,NA
201,1993-07-15,1993-07-21,NA,NA
202,1993-07-22,1993-07-28,NA,NA
203,1993-07-29,1993-08-04,NA,NA
204,1993-08-05,1993-08-11,NA,NA
205,1993-08-12,1993-08-18,NA,NA
206,1993-08-19,1993-08-25,NA,NA
207,1993-08-26,1993-09-01,NA,NA
208,1993-09-02,1993-09-08,USLaborDay,1993-09-06
209,1993-09-09,1993-09-15,NA,NA
210,1993-09-16,1993-09-22,NA,NA
211,1993-09-23,1993-09-29,NA,NA
212,1993-09-30,1993-10-06,NA,NA
213,1993-10-07,1993-10-13,USColumbusDay,1993-10-11
214,1993-10-14,1993-10-20,NA,NA
215,1993-10-21,1993-10-27,NA,NA
216,1993-10-28,1993-11-03,"USElectionDay, USHalloween","1993-11-02, 1993-10-31"
217,1993-11-04,1993-11-10,NA,NA
218,1993-11-11,1993-11-17,USVeteransDay,1993-11-11
219,1993-11-18,1993-11-24,NA,NA
220,1993-11-25,1993-12-01,USThanksgivingDay,1993-11-25
221,1993-12-02,1993-12-08,NA,NA
222,1993-12-09,1993-12-15,NA,NA
223,1993-12-16,1993-12-22,NA,NA
224,1993-12-23,1993-12-29,USChristmasDay,1993-12-25
225,1993-12-30,1994-01-05,USNewYearsDay,1994-01-01
226,1994-01-06,1994-01-12,NA,NA
227,1994-01-13,1994-01-19,USMLKingsBirthday,1994-01-17
228,1994-01-20,1994-01-26,USInaugurationDay,1994-01-20
229,1994-01-27,1994-02-02,NA,NA
230,1994-02-03,1994-02-09,NA,NA
231,1994-02-10,1994-02-16,USLincolnsBirthday,1994-02-12
232,1994-02-17,1994-02-23,"USPresidentsDay, USWashingtonsBirthday","1994-02-21, 1994-02-22"
233,1994-02-24,1994-03-02,NA,NA
234,1994-03-03,1994-03-09,USCPulaskisBirthday,1994-03-07
235,1994-03-10,1994-03-16,NA,NA
236,1994-03-17,1994-03-23,NA,NA
237,1994-03-24,1994-03-30,NA,NA
238,1994-03-31,1994-04-06,USGoodFriday,1994-04-01
239,1994-04-07,1994-04-13,NA,NA
240,1994-04-14,1994-04-20,NA,NA
241,1994-04-21,1994-04-27,NA,NA
242,1994-04-28,1994-05-04,NA,NA
243,1994-05-05,1994-05-11,NA,NA
244,1994-05-12,1994-05-18,NA,NA
245,1994-05-19,1994-05-25,NA,NA
