store_id,city,price_tier,zone,zip,address,latitude,longtitude,geo_address
126,Wheaton,medium,12,60187,Danada East Square,41.83158299999999,-88.10184699999999,"31 danada square east, wheaton, il 60187, usa"
129,Lake Zurich,medium,12,60047,4345 S Rand Rd,42.18671639999999,-88.0990412,"s rand rd, lake zurich, il 60047, usa"
131,Rolling Meadows,medium,12,60008,2801 Kirchoff Rd,42.0792811,-88.0231345,"kirchoff rd, rolling meadows, il 60008, usa"
130,Chicago,high,1,60649,2101 E 71st St,41.7650648,-87.5742808,"2101 e 71st st, chicago, il 60649, usa"
132,Matteson,low,15,60443,4233 W 211th St,41.5059355,-87.7180983,"4233 211th st, matteson, il 60443, usa"
133,Niles,medium,12,60648,8900 Greenwood Ave,42.0422088,-87.84227489999999,"8900 n greenwood ave, niles, il 60714, usa"
134,West Chicago,medium,13,60185,RT59North Ave,41.91491389999999,-88.20962139999999,"200 e n ave, west chicago, il 60185, usa"
136,Buffalo Grove,medium,10,60089,450 Half Day Rd,42.1984342,-87.9679414,"450 w half day rd, buffalo grove, il 60089, usa"
137,Evanston,high,1,60201,2748 Green Bay Rd,42.06785370000001,-87.7022507,"2748 green bay rd, evanston, il 60201, usa"
139,Bloomingdale,NA,NA,60108,144 S Gary Ave,41.9515104,-88.1226624,"144 s gary ave, bloomingdale, il 60108, usa"
