"gvkey","conm","fyear","measure_name","measure_value"
"290324","HASTINGS TECH METALS LTD","2024","sale",0
"290324","HASTINGS TECH METALS LTD","2024","ebit",-3.955
"338843","TUAS LIMITED","2024","at",476.594
"338843","TUAS LIMITED","2024","sale",117.065
"338843","TUAS LIMITED","2024","ebit",-3.5
"284527","AURELIA METALS LTD","2024","at",472.517
"284527","AURELIA METALS LTD","2024","sale",309.891
"284527","AURELIA METALS LTD","2024","ebit",6.261
"284635","DEVELOP GLOBAL LIMITED","2024","at",471.231
"284635","DEVELOP GLOBAL LIMITED","2024","sale",147.23
"284635","DEVELOP GLOBAL LIMITED","2024","ebit",-9.473
"212413","ALKANE RESOURCES LTD","2024","at",464.696
"212413","ALKANE RESOURCES LTD","2024","sale",172.991
"212413","ALKANE RESOURCES LTD","2024","ebit",23.643
"236262","RIDDOCK INTERNATIONAL LTD","2024","at",463.794
"236262","RIDDOCK INTERNATIONAL LTD","2024","sale",0
"236262","RIDDOCK INTERNATIONAL LTD","2024","ebit",-0.237
"335514","TYRO PAYMENTS LTD","2024","at",451.458
"335514","TYRO PAYMENTS LTD","2024","sale",497.715
"335514","TYRO PAYMENTS LTD","2024","ebit",48.398
"211585","SCHAFFER CORP","2024","at",418.067
"211585","SCHAFFER CORP","2024","sale",226.227
"211585","SCHAFFER CORP","2024","ebit",37.374
"211545","AUSTRALIAN VINTAGE LTD","2024","at",415.433
"211545","AUSTRALIAN VINTAGE LTD","2024","sale",260.594
"211545","AUSTRALIAN VINTAGE LTD","2024","ebit",-28.957
"326138","WAGNERS HOLDING CO","2024","at",413.111
"326138","WAGNERS HOLDING CO","2024","sale",481.644
"326138","WAGNERS HOLDING CO","2024","ebit",34.687
"326181","NTAW HOLDINGS LIMITED","2024","at",413.097
"326181","NTAW HOLDINGS LIMITED","2024","sale",533.431
"326181","NTAW HOLDINGS LIMITED","2024","ebit",13.59
"345686","NUIX LIMITED","2024","at",397.078
"345686","NUIX LIMITED","2024","sale",220.617
"345686","NUIX LIMITED","2024","ebit",14.303
"321581","MOTORCYCLE HOLDINGS LTD","2024","at",394.98
"321581","MOTORCYCLE HOLDINGS LTD","2024","sale",582.318
"321581","MOTORCYCLE HOLDINGS LTD","2024","ebit",27.635
"325823","PEOPLEIN LIMITED","2024","at",391.281
"325823","PEOPLEIN LIMITED","2024","sale",1181.112
"325823","PEOPLEIN LIMITED","2024","ebit",12.528
"202929","KINGSGATE CONSOLIDATED LTD","2024","at",388.94
"202929","KINGSGATE CONSOLIDATED LTD","2024","sale",133.091
"202929","KINGSGATE CONSOLIDATED LTD","2024","ebit",NA
"322452","SUGAR TERMINALS LTD","2024","at",381.157
"322452","SUGAR TERMINALS LTD","2024","sale",115.375
"322452","SUGAR TERMINALS LTD","2024","ebit",47.089
"278186","RETAIL FOOD GROUP LTD","2024","at",368.735
"278186","RETAIL FOOD GROUP LTD","2024","sale",125.179
"278186","RETAIL FOOD GROUP LTD","2024","ebit",4.913
"317454","BEACON LIGHTING GROUP LTD","2024","at",367.074
"317454","BEACON LIGHTING GROUP LTD","2024","sale",324.331
"317454","BEACON LIGHTING GROUP LTD","2024","ebit",51.244
"287431","SOUTHERN CROSS ELEC ENGR","2024","at",364.756
"287431","SOUTHERN CROSS ELEC ENGR","2024","sale",551.87
"287431","SOUTHERN CROSS ELEC ENGR","2024","ebit",32.63
"364417","SYMAL GROUP LIMITED","2024","at",362.372
"364417","SYMAL GROUP LIMITED","2024","sale",743.074
"364417","SYMAL GROUP LIMITED","2024","ebit",55.281
"347108","LYNCH GROUP HOLDINGS LTD","2024","at",356.034
"347108","LYNCH GROUP HOLDINGS LTD","2024","sale",397.715
"347108","LYNCH GROUP HOLDINGS LTD","2024","ebit",14.939
"339747","RESOURCE DEVELOPMENT GROUP","2024","at",352.898
"339747","RESOURCE DEVELOPMENT GROUP","2024","sale",136.181
"339747","RESOURCE DEVELOPMENT GROUP","2024","ebit",25.715
"201317","COVENTRY GROUP LTD","2024","at",349.38
"201317","COVENTRY GROUP LTD","2024","sale",370.805
"201317","COVENTRY GROUP LTD","2024","ebit",12.609
"289969","BASE RESOURCES LTD","2024","at",349.13
"289969","BASE RESOURCES LTD","2024","sale",135.11
"289969","BASE RESOURCES LTD","2024","ebit",22.025
"247879","STRANDLINE RESOURCES LTD","2024","at",346.371
"247879","STRANDLINE RESOURCES LTD","2024","sale",86.088
"247879","STRANDLINE RESOURCES LTD","2024","ebit",-192.55
"278526","CATALYST METALS LTD","2024","at",340.481
"278526","CATALYST METALS LTD","2024","sale",317.014
"278526","CATALYST METALS LTD","2024","ebit",33.965
"333913","MADER GROUP LTD","2024","at",337.945
"333913","MADER GROUP LTD","2024","sale",774.472
"333913","MADER GROUP LTD","2024","ebit",72.014
"320481","BABY BUNTING GROUP LTD","2024","at",332.205
"320481","BABY BUNTING GROUP LTD","2024","sale",490.991
"320481","BABY BUNTING GROUP LTD","2024","ebit",16.738
