store,week,brand,upc,qty,price,sales_indicator,city,price_tier,zone,zip,address,latitude,longtitude,start_of_week,is_holiday_week,imported
86,99,BUDWEISER BEER,1820000016,32,3.59,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-01,FALSE,domestic
86,99,CORONA EXTRA BEER,8066095605,6,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-01,FALSE,imported
86,99,LOWENBRAU BEER,3410021505,33,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-01,FALSE,imported
86,99,MILLER GENUINE DRAFT,3410000554,95,2.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-01,FALSE,domestic
86,100,BUDWEISER BEER,1820000016,32,3.59,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-08,FALSE,domestic
86,100,CORONA EXTRA BEER,8066095605,3,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-08,FALSE,imported
86,100,LOWENBRAU BEER,3410021505,25,3.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-08,FALSE,imported
86,100,MILLER GENUINE DRAFT,3410000554,104,2.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-08,FALSE,domestic
86,101,BUDWEISER BEER,1820000016,25,3.59,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-15,FALSE,domestic
86,101,CORONA EXTRA BEER,8066095605,2,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-15,FALSE,imported
86,101,LOWENBRAU BEER,3410021505,15,3.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-15,FALSE,imported
86,101,MILLER GENUINE DRAFT,3410000554,28,3.59,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-15,FALSE,domestic
86,102,BUDWEISER BEER,1820000016,25,3.59,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-22,FALSE,domestic
86,102,CORONA EXTRA BEER,8066095605,11,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-22,FALSE,imported
86,102,LOWENBRAU BEER,3410021505,47,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-22,FALSE,imported
86,102,MILLER GENUINE DRAFT,3410000554,22,3.59,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-22,FALSE,domestic
