gvkey,conm,price_2019,price_2020,price_2021,price_2022,price_2023,price_2024,eps_2019,eps_2020,eps_2021,eps_2022,eps_2023,eps_2024
100192,COCA-COLA AMATIL LTD,8.84,13.43,NA,NA,NA,NA,0.5086,0.2485,NA,NA,NA,NA
212635,COCHLEAR LTD,208.15,198,220.4,194.54,255.32,282.09,4.7965,-3.996,4.9671,4.3956,4.571,5.4443
333058,CODA MINERALS LTD,NA,NA,0.94,0.28,0.185,0.09,NA,NA,-0.0869,-0.1374,-0.0573,-0.0306
259267,CODAN LTD,5.54,11.04,12.77,5.67,7.9,16.12,0.2551,0.3547,0.5008,0.5571,0.3746,0.4495
272497,CODEIFAI LIMITED,0.002,0.0035,0.001,0.004,0.002,NA,-0.008,-0.0064,-7e-4,-0.0102,-0.007,NA
348632,CODRUS MINERALS LIMITED,NA,NA,0.16,0.071,0.067,0.02,NA,NA,-2.3274,-0.0546,-0.0358,-0.0339
278953,COGENT DEVELOPMENT GROUP LTD,0.011,0.011,0.011,0.011,0.011,NA,-1e-4,-3e-4,-2e-4,-6e-4,0,NA
260641,COGSTATE LTD,0.24,0.71,2.2,2.16,1.525,1.035,-0.0211,-0.0083,0.0307,0.0435,0.0206,0.0317
248146,COKAL LTD,0.045,0.053,0.145,0.23,0.125,0.08,-0.0026,-0.0028,-0.0029,-0.0076,-0.0086,-0.0091
329498,COLES GROUP LTD,15.4,17,16.99,16.43,15.56,18.06,0.8083,0.7331,0.7534,0.788,0.7811,0.8456
242336,COLLECTION HOUSE LTD,1.29,1.085,0.17,NA,NA,NA,0.223,-1.0318,-0.2254,NA,NA,NA
298537,COLLINS FOODS LTD,9.52,11.01,10.36,10.02,9.16,NA,0.2682,0.3226,0.4696,0.0962,0.4735,NA
325583,COLORTV LIMITED,0.016,0.0055,0.001,NA,NA,NA,-0.0026,-0.0055,-0.0024,NA,NA,NA
247687,COMET RESOURCES LTD,0.024,0.023,0.027,0.02,0.2,NA,-0.0086,-0.005,-0.0059,6e-4,-0.0295,NA
270219,COMET RIDGE LTD,0.26,0.094,0.135,0.165,0.165,0.175,-0.0056,-0.0132,-0.0088,-0.01,-0.0067,-0.0068
326098,COMMS GROUP LIMITED,0.064,0.1,0.091,0.075,0.076,0.076,-0.1726,0.0139,0.0022,-0.0019,-0.0015,-3e-4
345930,COMPLII FINTECH SOLUTIONS LT,NA,NA,0.059,0.065,0.04,0.026,NA,NA,-0.0238,3e-4,-0.0105,-0.0093
242341,COMPUMEDICS LTD,0.615,0.43,0.415,0.245,0.185,0.3,0.0227,-0.033,0.0056,0.0077,-0.0346,-0.0019
273035,CONDOR ENERGY LTD,0.0025,0.016,0.026,0.003,0.014,0.033,-6e-4,-0.0018,-0.0032,-0.0133,-0.0144,-0.0065
285096,CONICO LTD,0.008,0.018,0.05,0.038,0.006,0.002,-0.0014,-9e-4,-0.0014,-9e-4,-6e-4,-0.0215
247359,CONNECTED MINERALS LIMITED,0.004,0.024,0.051,0.018,0.018,0.36,-0.0013,-0.0112,-0.016,-0.0032,-0.0014,-0.0013
251620,CONNEXION MOBILITY LTD,0.019,0.016,0.015,0.01,0.023,0.027,6e-4,0.0037,6e-4,2e-4,0.0019,0.002
286943,CONSOLIDATED FINANCIAL HLDGS,0.064,0.019,0.037,0.037,NA,NA,-0.003,-0.0082,-0.0075,-0.0029,NA,NA
327268,CONSTELLATION RESO,0.24,0.315,0.36,0.16,0.165,0.155,-0.031,-0.0413,-0.0477,-0.0395,-0.0255,-0.0362
242599,CONSTELLATION TECHNOLOGIES,0.011,0.024,0.011,0.005,0.002,0.002,-0.0052,-0.0033,-0.0023,-5e-4,-1e-4,-1e-4
345696,CONTROL BIONICS LIMITED,NA,NA,0.665,0.175,0.073,0.068,NA,NA,-0.0566,-0.0715,-0.0624,-0.0371
353327,COOLABAH METALS LTD,NA,NA,NA,0.105,0.056,0.07,NA,NA,NA,NA,-0.052,-0.0258
350661,COOPER METALS LTD,NA,NA,NA,0.3,0.12,0.054,NA,NA,NA,-0.0248,-0.0225,-0.0218
349939,COPPER SEARCH LIMITED,NA,NA,0.36,0.17,0.2,0.057,NA,NA,NA,-0.0405,-0.0429,-0.0451
272241,COPPER STRIKE LTD,0.04,0.058,0.084,0.11,0.155,0.155,0.0032,0.0053,-0.0044,-0.0119,-0.02,0
290342,COPPERMOLY LIMITED,0.006,0.017,0.011,0.011,0.012,0.011,-6e-4,-6e-4,-5e-4,-5e-4,-4e-4,-0.0016
273250,CORAZON MINING LTD,0.003,0.0025,0.036,0.015,0.012,0.005,-0.0018,-9e-4,-0.0046,-0.0026,-0.0011,-0.0043
304129,CORE LITHIUM LTD,0.039,0.044,0.425,1.105,0.405,0.13,-0.0036,-0.0055,-0.0027,-0.0047,0.0059,-0.0988
288220,CORELLA RESOURCES LIMITED,0.003,0.003,NA,NA,NA,NA,-0.0081,-9e-4,NA,NA,NA,NA
296280,CORPORATE TRAVEL MGMT LTD,18.88,17.23,24.45,16.74,16.85,12.9,0.7964,-0.0752,-0.4211,0.0221,0.5307,0.5787
351700,COSMO METALS LTD,NA,NA,NA,0.145,0.053,0.028,NA,NA,NA,-0.036,-0.0136,-0.0186
350559,COSMOS EXPLORATION LIMITED,NA,NA,NA,0.14,0.37,0.055,NA,NA,NA,-0.0807,-0.0566,-0.0683
336993,COSOL LTD,NA,0.72,0.685,0.61,0.885,0.945,NA,0.0228,0.0306,0.0401,0.0543,0.0498
320129,COSTA GROUP HOLDINGS,2.75,4.73,3.18,2.58,NA,NA,-0.1075,0.1516,0.0947,0.0724,NA,NA
259423,COUGAR METALS NL,0.001,0.001,NA,NA,NA,NA,-0.0017,-7e-4,NA,NA,NA,NA
307989,COUNTY INTERNATIONAL LTD,0.005,0.004,0.047,NA,NA,NA,-4e-4,-3e-4,-0.004,NA,NA,NA
201317,COVENTRY GROUP LTD,1.05,0.78,1.49,1.23,1.05,1.26,-0.0235,0.0088,0.0805,0.0532,0.0268,0.0068
248816,CPT GLOBAL LTD,0.2,0.18,0.615,0.35,0.12,0.076,0.0262,-0.0874,0.0877,0.0354,-0.0492,-0.0379
254903,CRATER GOLD MINING LTD,0.02,0.012,0.017,0.017,NA,NA,-0.0117,-0.0037,-0.0086,-0.0022,NA,NA
282963,CREAT RESOURCES HOLDINGS LTD,NA,NA,NA,NA,NA,NA,-0.0224,-0.0088,0.02,0.0206,0.0173,NA
343910,CREDIT CLEAR LIMITED,NA,NA,0.465,0.44,0.19,0.32,NA,NA,-0.0381,-0.046,-0.0296,-0.0108
291150,CREDIT INTELLIGENCE LTD,0.012,0.028,0.0145,0.115,0.145,0.11,6e-4,0.0025,6e-4,-0.0105,-0.0697,-0.1186
279180,CRITICA LIMITED,0.018,0.032,0.052,0.023,0.01,0.015,-0.0054,-0.0027,-0.0107,-0.0117,-0.0052,-0.0029
353422,CRITICAL MINERALS GROUP LTD,NA,NA,NA,0.27,0.235,0.2,NA,NA,NA,NA,-0.0326,-0.0324
296032,CRITICAL RESOURCES LTD,0.012,0.017,0.079,0.045,0.014,NA,-0.0094,-0.0013,-0.0016,-0.0015,-0.0027,NA
253502,CROWDSPARK LTD,0.037,NA,NA,NA,NA,NA,-0.0166,NA,NA,NA,NA,NA
222301,CROWN RESORTS LTD,12.05,8.79,9.58,NA,NA,NA,0.5907,0.1174,-0.3863,NA,NA,NA
253324,CRYOSITE LTD,0.044,0.225,0.4,0.675,0.65,0.8,-0.0368,0.0316,0.0139,0.0279,0.0289,0.0377
284377,CSG LTD,0.22,NA,NA,NA,NA,NA,-0.0067,NA,NA,NA,NA,NA
223003,CSL LTD,233.69,287,293.4,285.02,250.8,286.28,4.2363,4.633,5.2213,4.81,4.5502,5.4699
017544,CSR LTD,3.68,5.76,4.06,5.19,8.97,NA,0.2539,0.3012,0.5583,0.4554,0.4848,NA
221464,CTI LOGISTICS LTD,0.81,0.6,0.92,1.3,1.51,1.77,0.0105,-0.058,0.1088,0.2015,0.2227,0.2049
201350,CUE ENERGY RESOURCES LTD,0.12,0.185,0.065,0.074,0.062,0.096,0.0122,0.0019,-0.0183,0.023,0.0218,0.0203
274273,CUFE LTD,0.014,0.024,0.047,0.016,0.015,0.008,-0.0044,0.0122,-0.0044,-2e-4,-0.0115,-0.012
227297,CULLEN RESOURCES NL,0.015,0.028,0.017,NA,0.01,0.006,-0.0074,-0.004,-0.0044,NA,-0.0025,-0.0021
349569,CULPEO MINERALS LTD,NA,NA,0.235,0.14,0.032,0.029,NA,NA,NA,-0.0429,-0.0447,-0.0191
253524,CYCLONE METALS LTD,0.005,0.007,0.005,0.002,0.001,0.001,-0.0064,-0.0013,-0.0015,-0.0011,-8e-4,-5e-4
282321,CYCLOPHARM LTD,1,2.57,1.64,1.82,1.795,NA,-0.0427,-0.0789,-0.0562,-0.0717,-0.0507,NA
326368,CYGNUS METALS LIMITED,0.041,0.165,0.17,0.23,0.051,NA,-0.0142,-0.0949,-0.019,-0.0045,-0.0584,NA
290330,CYNATA THERAPEUTICS LTD,1.6,1.03,0.58,0.315,0.13,0.215,-0.0848,-0.0348,-0.059,-0.038,-0.0984,-0.0543
210260,CYPRIUM METALS LTD,0.1,0.245,0.205,0.11,0.019,NA,-0.0348,-0.0165,-0.0598,-0.0429,-0.0201,NA
278749,CZR RESOURCES LTD,0.01,0.017,0.008,0.017,0.145,0.275,-9e-4,-0.0017,-0.0014,-0.0017,-0.0321,0.0445
314073,DACIAN GOLD LTD,1.38,0.34,0.195,0.091,0.105,NA,0.0135,-0.4063,-0.0118,-0.1927,-0.0517,NA
350296,DALAROO METALS LTD,NA,NA,NA,0.125,0.052,0.025,NA,NA,NA,-0.0557,-0.0449,-0.0193
345710,DALRYMPLE BAY INFRASTRUCTURE,NA,NA,2.15,2.68,2.74,NA,NA,NA,0.2592,0.1391,0.1491,NA
334105,DAMSTRA HOLDINGS LTD,NA,1.98,0.905,0.14,0.1,NA,NA,-0.0305,-0.05,-0.2892,-0.2175,NA
259075,DANAKALI LTD,0.35,0.485,0.3,0.42,0.41,NA,-0.0116,-0.0259,-0.0287,-0.0125,0.0041,NA
284647,DART MINING NL,0.008,0.165,0.12,0.074,0.021,0.016,-0.001,-0.0099,-0.0086,-0.0039,-0.0059,-0.0082
242679,DATA3 LTD,2.97,6.56,4.79,6.25,7.08,7.58,0.1176,0.1535,0.1651,0.1961,0.2396,0.28
271835,DATADOT TECHNOLOGY LTD,0.006,0.0075,0.01,0.006,0.003,0.003,-0.003,0,0.001,0.0052,-1e-4,1e-4
304887,DATELINE RESOURCES LTD,0.0025,0.003,0.088,0.082,0.012,0.005,-0.001,-5e-4,-0.0177,-0.0329,-0.0188,-0.0142
346518,DDH 1 DRILLING PTY LTD,NA,NA,1.24,0.74,0.84,NA,NA,NA,0.1858,0.0955,0.1032,NA
253326,DE GREY MINING LTD,0.056,1.215,0.965,1.04,1.115,1.39,-0.005,-0.0041,-0.0041,-0.0077,-0.0125,-0.0093
323771,DE MEM LIMITED,0.165,0.27,0.225,0.125,0.14,NA,-0.0258,-0.0202,-0.0216,-0.0151,-0.0128,NA
272816,DECMIL GROUP LTD,0.88,0.056,0.355,0.17,0.17,NA,0.0627,-0.3299,-0.089,-0.6775,-0.0119,NA
102202,DEEP YELLOW LTD,0.3,0.315,0.93,0.81,1.315,1.375,-0.019,0.0119,-0.0175,-0.0184,-0.0142,-0.0131
347054,DELOREAN CORPORATION LTD,NA,NA,0.195,0.063,0.023,0.1,NA,NA,-0.0375,-0.0583,-0.0464,0.0221
325305,DELTA LITHIUM LIMITED,0.1,0.205,0.6,0.65,0.75,0.235,-0.0352,-0.0511,-0.01,-0.0365,-0.0218,-0.0197
206196,DEMETALLICA LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0037,NA,NA
345461,DESERT METALS LIMITED,NA,NA,0.28,0.48,0.042,0.022,NA,NA,-0.0286,-0.01,-0.0103,-0.0621
248766,DESIGN MILK CO LTD,0.011,0.007,0.4,0.3,0.3,NA,-0.0038,-0.0018,-0.0336,-0.0741,0,NA
354754,DESOTO RESOURCES LTD,NA,NA,NA,NA,0.12,0.11,NA,NA,NA,NA,-0.0224,-0.019
342576,DETERRA ROYALTIES LTD,NA,NA,3.79,4,4.79,4.04,NA,NA,0.1784,0.3377,0.2885,0.293
284635,DEVELOP GLOBAL LIMITED,0.16,0.091,0.52,2.51,3.45,2.48,-0.0106,-0.0138,-0.2265,-0.0639,-0.1072,-0.0537
248789,DEVEX RESOURCES LTD,0.088,0.315,0.35,0.31,0.37,0.165,-0.0147,-0.02,-0.0248,-0.0379,-0.036,-0.0258
212621,DEVINE LTD,0.1,0.135,NA,NA,NA,NA,-0.1284,-0.0285,NA,NA,NA,NA
203209,DGL GROUP LIMITED,NA,NA,2.89,1.51,0.89,0.47,NA,NA,0.7751,0.1031,0.0679,0.0503
290351,DGO GOLD LTD,0.8,3.2,2.74,NA,NA,NA,-0.1955,-0.0023,-0.0995,NA,NA,NA
260559,DGR GLOBAL LTD,0.08,0.075,0.063,0.045,0.026,0.016,-0.0072,-0.0095,-0.0012,-0.0088,-0.0091,-0.0447
350697,DIABLO RESOURCES LIMITED,NA,NA,NA,0.051,0.045,0.016,NA,NA,NA,-0.0151,-0.0557,-0.1039
273189,DIATREME RESOURCES LTD,0.008,0.022,0.021,0.027,0.0205,NA,-0.001,-5e-4,-8e-4,0.0015,0.0028,NA
296603,DICKER DATA LTD,5.78,10.17,14.59,8.19,10.77,NA,0.3369,0.3402,0.4263,0.418,0.4559,NA
253380,DIGITAL X LTD,0.028,0.04,0.066,0.0335,0.029,0.042,-0.0049,-0.0078,0.0104,-0.0038,-0.0102,-0.0061
253528,DIMERIX LTD,0.095,0.305,0.3,0.16,0.061,0.375,-0.0182,-0.0262,-0.0322,-0.0356,-0.0424,-0.0377
313552,DISCOVERY ALASKA LIMITED,0.02,0.031,0.042,0.065,0.019,0.01,-0.0041,0.0084,-0.0013,-0.0014,-0.0018,-0.0068
352079,DMC MINING LIMITED,NA,NA,NA,0.115,0.067,0.058,NA,NA,NA,-0.016,-0.0455,-0.0601
325957,DOMAIN HOLDINGS AUSTRALIA LT,3.39,3.7,5.65,3.22,4,3.2,-0.2367,-0.3902,0.0587,0.059,0.058,0.0689
317333,DOME GOLD MINES LTD,0.195,0.175,0.175,0.23,0.185,0.1,-0.0065,-0.007,-0.0075,-0.006,-0.0085,-0.0061
271323,DOMINION MINERALS LIMITED,0.0025,0.005,0.074,0.04,0.032,NA,0.0016,3e-4,-0.0084,-0.0039,-0.0107,NA
273011,DOMINOS PIZZA ENTERPRISES LT,46.45,79.22,160.46,51.52,53.18,35.45,1.3552,1.6094,2.1278,1.8338,0.7615,1.0269
271731,DONACO INTERNATIONAL LTD,0.065,0.03,0.035,0.045,0.04,0.032,-0.2355,-0.0715,0.021,-0.0134,-0.0298,0.03
316874,DORSAVI LTD,0.043,0.034,0.02,0.014,0.011,0.01,-0.0215,-0.0349,-0.0068,-0.0044,-0.0039,-0.0023
287635,DOTZ NANO LTD,0.045,0.34,0.38,0.23,0.165,NA,-0.0172,-0.0124,-0.0198,-0.0121,-0.0137,NA
340294,DOUUGH PTY LTD,NA,NA,0.07,0.021,0.006,0.005,NA,NA,-0.0255,-0.0159,-0.0066,-0.0014
241380,DOWNER EDI LTD,7.8,4.4,6.46,4.57,4.12,5.48,0.4288,-0.2663,0.2537,0.2129,-0.5903,0.0837
348969,DRA GLOBAL LTD,NA,NA,2.7,2.1,2.11,NA,NA,NA,0.872,-0.4396,0.3611,NA
