stock_id,tic,prc,ret,shrout,vol
27828,HPQ,28.71,-0.045862,990902,1746723
27887,BAX,38.69,7.76e-4,507324,758109
27959,DUK,95.83,-0.012469,770712,625675
27991,PNW,68.9,-0.028675,113398,271441
28222,APD,255.71001,-0.06607,222228,279852
28484,HES,140.53,-0.02518,307159,531857
29946,BF,54.9,-0.038529,306475,328235
30681,OMC,90.38,0.044735,197934,304325
32870,HRL,30.37,-0.045391,546840,593678
32942,HUBB,335.57001,0.020187,53622,82885
32986,ATO,113.94,-0.016911,150834,162388
34032,MAS,67.29,0.004628,224501,346282
34746,FITB,34.24,-0.007248,681222,1235174
34817,NUE,186.92999,0.074063,245839,356499
34833,OXY,57.57,-0.03584,877581,1906316
35044,RF,18.67,-0.036636,930065,1895708
35554,MTB,138.10001,0.007441,165960,253700
36003,ROL,43.31,-0.008244,484038,327293
36468,SHW,304.38,-0.02411,255966,353719
37584,BEN,26.63,-0.09567,526558,863746
38093,AJG,232.16,0.032373,215900,200586
38156,WMB,34.66,-0.004881,1216499,1397924
38703,WFC,50.18,0.019504,3631640,3884410
38762,NI,25.97,-0.021846,447307,844141
39490,APA,31.33,-0.119844,301819,1261729
39642,BDX,238.81,-0.020588,289542,310231
39917,WY,32.77,-0.057521,730001,741824
40272,IFF,80.68,-0.003582,255279,369891
40539,TJX,94.91,0.011726,1139677,927388
41080,CMI,239.3,-0.001127,141745,164787
41355,PH,464.5,0.008248,128476,123842
42200,RVTY,107.18,-0.018846,123407,169452
42585,SJM,131.55,0.040908,106144,252405
42877,JBHT,200.98,0.006208,103220,173375
42906,HBAN,12.73,7.86e-4,1448346,3626742
43350,SWK,93.3,-0.04893,153311,258947
43449,MCD,292.72,-0.012782,725342,638351
44206,ES,54.22,-0.121517,349326,772405
44329,TFX,242.83,-0.026109,46993,44791
44601,AVY,199.45,-0.013405,80531,95309
44644,ADP,245.78,0.054986,410791,365975
45356,JCI,52.69,-0.085878,681477,1407750
45751,MMC,193.84,0.026812,493072,422554
45911,SWKS,104.46,-0.070806,160226,452915
46578,CLX,145.25,0.027071,124059,256298
46674,GPC,140.23,0.012491,140197,181238
46703,HST,19.22,-0.01284,703600,1369606
46886,KLAC,594.03998,0.021916,135234,217690
47896,JPM,174.36,0.031217,2891008,2316568
48486,LRCX,825.16998,0.053507,131103,243497
48506,MCO,392.04001,0.003789,183000,134110
48653,HUM,378.06,-0.174199,123111,604796
48725,UNP,243.92999,-0.006881,609597,530003
49154,TGT,139.08,-0.023452,461662,727465
49656,BK,55.46,0.073583,769073,985314
49680,DHR,239.91,0.037045,739200,691620
50876,LLY,645.60999,0.107545,949307,619852
51369,TER,96.59,-0.109934,152698,394052
52038,SYY,80.93,0.113497,504372,729066
52090,MKC,68.16,-0.0038,251441,474281
52329,J,134.77,0.03829,126316,156972
52476,EFX,244.34,-0.011929,123217,159114
52695,GWW,895.64001,0.08079,49634,56230
52708,LEN,149.85001,0.00879,247163,461770
52978,HAS,48.95,-0.027615,138789,331174
53065,IPG,32.99,0.010723,383004,679298
53613,MU,85.75,0.004804,1103909,2937303
54148,PHM,104.56,0.012982,215595,416608
55976,WMT,165.25,0.048208,2692234,1284407
56274,CAG,29.15,0.029309,478005,1285129
56573,ITW,260.89999,-0.00397,300886,223328
57568,BALL,55.45,-0.035988,315301,332556
57665,NKE,101.53,-0.064843,1217225,1884218
57809,NDSN,251.72,-0.047093,57192,44542
57904,AFL,84.34,0.022303,584380,368733
58246,NTRS,79.64,-0.056174,204842,293156
58413,FRT,101.73,-0.012809,81623,154246
58683,LUV,29.89,0.034972,596115,1891585
58819,LNT,48.66,-0.042105,256100,472083
59176,AXP,200.74001,0.074731,728746,764866
59248,TAP,61.79,0.009476,210418,273336
59300,UDR,36.02,-0.048316,328928,705723
59328,INTC,43.08,-0.142687,4228000,9935184
59408,BAC,34.01,0.010098,7913732,9341614
59459,TRV,211.36,0.10956,228399,342505
60097,MDT,87.54,0.062637,1329654,1305721
60206,SNA,289.92999,0.003774,52780,39022
60442,PNC,151.21001,-0.013497,398341,442156
60506,PCAR,100.39,0.028059,523300,525263
60628,FDX,241.28999,-0.046172,249893,485223
60871,ADI,192.36,-0.031225,495840,645705
61241,AMD,167.69,0.137575,1615787,19474890
61399,LOW,212.84,-0.038688,575113,548922
61621,PAYX,121.73,0.021997,359822,344147
61735,AON,298.42999,0.027575,200216,252268
62092,TMO,538.97998,0.01543,386372,448617
62148,CSX,35.7,0.029709,1959134,2502144
62308,GL,122.82,0.010886,94119,102407
62498,WST,373.03,0.059951,73990,93098
63467,BRO,77.56,0.090705,284598,365099
64186,CI,300.95001,0.005009,292620,353930
64311,NSC,235.24001,-0.004823,226136,316092
64390,PGR,178.25,0.124435,585300,480436
64653,PSA,283.19,-0.071508,175836,156127
64936,D,45.72,-0.027234,836797,977882
64995,KEY,14.53,0.009028,936260,4044105
65402,AOS,77.61,-0.054707,122828,204770
65541,COO,373.03,-0.014296,49675,50368
65875,VZ,42.35,0.140981,4204102,5234258
65947,WELL,86.51,-0.04059,535969,430370
66093,T,17.69,0.070769,7150020,9287088
66157,USB,41.54,-0.040203,1557012,2015554
66181,HD,352.95999,0.018497,995262,652362
66384,WDC,57.25,0.093183,325860,1677646
66800,AIG,69.51,0.025978,702040,726924
67598,DOC,18.5,-0.065657,547158,1142510
69032,MS,87.24,-0.055335,1641312,2049850
69649,RJF,110.18,-0.011839,209845,258064
69796,STZ,245.08,0.013775,182796,275791
70519,C,56.17,0.091952,1913882,4440884
