gm,date,tm,h_a,opp,result,r,ra,inn,record,rank,gb,win,loss,save,time,d_n,attendance,c_li,streak,orig_scheduled,year
100,2024-07-20,CHC,H,ARI,L,0,3,NA,47-53,5,10.0,Gallen,Hendricks,Sewald,02:46:00,N,39595,0.52,-2,NA,2024
101,2024-07-21,CHC,H,ARI,W-wo,2,1,10,48-53,4,10.0,Neris,Mantiply,NA,02:30:00,D,39162,0.39,1,NA,2024
102,2024-07-22,CHC,H,MIL,W,3,1,NA,49-53,4,9.0,Smyly,Myers,Neris,02:30:00,N,35741,0.44,2,NA,2024
103,2024-07-23,CHC,H,MIL,L,0,1,NA,49-54,4,10.0,Peguero,Taillon,Megill,02:37:00,N,37651,0.51,-1,NA,2024
104,2024-07-24,CHC,H,MIL,L,2,3,NA,49-55,5,11.0,Junis,Neris,Payamps,02:34:00,D,37679,0.37,-2,NA,2024
111,2024-08-01,CHC,H,STL,W-wo,5,4,NA,53-58,5,9.5,Pearson,Helsley,NA,02:35:00,N,37969,0.25,2,NA,2024
112,2024-08-02,CHC,H,STL,W,6,3,NA,54-58,4,9.5,Miller,Fedde,Neris,02:42:00,D,37613,0.29,3,NA,2024
113,2024-08-03,CHC,H,STL,L,4,5,NA,54-59,5,9.5,Romero,Neris,Helsley,02:21:00,D,40073,0.37,-1,NA,2024
114,2024-08-04,CHC,H,STL,W,6,2,NA,55-59,4,8.5,Steele,Mikolas,NA,02:30:00,N,34593,0.29,1,NA,2024
115,2024-08-05,CHC,H,MIN,L,0,3,NA,55-60,5,9.0,Festa,Hendricks,Jax,02:16:00,N,35382,0.33,-1,NA,2024
116,2024-08-06,CHC,H,MIN,W,7,3,NA,56-60,5,9.0,Imanaga,López,NA,02:18:00,N,36653,0.24,1,NA,2024
117,2024-08-07,CHC,H,MIN,W,8,2,NA,57-60,4,9.0,López,Richards,NA,02:44:00,D,35059,0.29,2,NA,2024
123,2024-08-16,CHC,H,TOR,W-wo,6,5,10,60-63,4,10.5,Miller,Green,NA,02:53:00,D,39614,0.21,1,NA,2024
124,2024-08-17,CHC,H,TOR,W,3,2,NA,61-63,3,10.5,Pearson,Bassitt,López,02:31:00,D,38755,0.25,2,NA,2024
125,2024-08-18,CHC,H,TOR,L,0,1,NA,61-64,3,11.5,Francis,Imanaga,Green,02:32:00,D,36117,0.28,-1,NA,2024
126,2024-08-20,CHC,H,DET,W,3,1,NA,62-64,2,11.5,Assad,Sammons,Hodge,02:25:00,N,31119,0.18,1,NA,2024
127,2024-08-21,CHC,H,DET,L,2,8,NA,62-65,3,11.5,Hurter,Taillon,NA,02:38:00,N,31940,0.23,-1,NA,2024
128,2024-08-22,CHC,H,DET,W,10,2,NA,63-65,3,10.5,Steele,Maeda,NA,02:13:00,D,33536,0.15,1,NA,2024
138,2024-09-02,CHC,H,PIT,L,3,5,NA,71-67,2,10.0,Beeks,López,Santana,02:18:00,N,33583,0.55,-1,NA,2024
139,2024-09-03,CHC,H,PIT,L,0,5,NA,71-68,2,10.0,Skenes,Hendricks,NA,02:30:00,N,29450,0.42,-2,NA,2024
140,2024-09-04,CHC,H,PIT,W,12,0,NA,72-68,2,9.0,Imanaga,Germán,NA,02:10:00,N,30369,0.21,1,NA,2024
141,2024-09-06,CHC,H,NYY,L,0,3,NA,72-69,2,9.0,Gil,Wicks,Weaver,02:42:00,D,40101,0.25,-1,NA,2024
142,2024-09-07,CHC,H,NYY,L,0,2,NA,72-70,2,10.0,Cortés,Assad,NA,02:34:00,D,40080,0.13,-2,NA,2024
143,2024-09-08,CHC,H,NYY,W,2,1,NA,73-70,2,9.0,Taillon,Cole,Hodge,02:18:00,D,39364,0.09,1,NA,2024
150,2024-09-16,CHC,H,OAK,W,9,2,NA,77-73,2,10.0,Imanaga,Estes,NA,02:33:00,N,34532,0.03,2,NA,2024
151,2024-09-17,CHC,H,OAK,L,3,4,NA,77-74,2,10.0,Spence,Wicks,Miller,02:48:00,N,32718,0.05,-1,NA,2024
152,2024-09-18,CHC,H,OAK,L,3,5,NA,77-75,2,11.0,Ferguson,Pearson,Miller,02:40:00,D,27806,0.02,-2,NA,2024
153,2024-09-19,CHC,H,WSN,W,7,6,NA,78-75,2,10.0,Roberts,Garcia,Hodge,02:51:00,N,31479,0,1,NA,2024
154,2024-09-20,CHC,H,WSN,W,3,1,NA,79-75,2,9.0,Taillon,Williams,Hodge,02:19:00,D,29590,0,2,NA,2024
155,2024-09-21,CHC,H,WSN,L,1,5,NA,79-76,2,9.0,Gore,Hendricks,NA,02:23:00,D,38819,0,-1,NA,2024
156,2024-09-22,CHC,H,WSN,W,5,0,NA,80-76,2,9.0,Imanaga,Irvin,NA,02:34:00,D,30086,0,1,NA,2024
160,2024-09-27,CHC,H,CIN,W,1,0,NA,82-78,2,10.0,Taillon,Martinez,Hodge,01:48:00,D,32083,0,1,NA,2024
161,2024-09-28,CHC,H,CIN,W,3,0,NA,83-78,2,10.0,Miller,Farmer,Hodge,02:13:00,D,38180,0,2,NA,2024
162,2024-09-29,CHC,H,CIN,L,0,3,10,83-79,2,10.0,Santillan,Roberts,Farmer,03:01:00,D,33792,0,-1,NA,2024
1,2025-03-18,CHC,H,LAD,L,1,4,NA,0-1,5,0.5,Yamamoto,Brown,Scott,02:38:00,N,42365,0.96,-1,NA,2025
2,2025-03-19,CHC,H,LAD,L,3,6,NA,0-2,5,1.0,Knack,Steele,Vesia,02:45:00,N,42367,0.89,-2,NA,2025
10,2025-04-04,CHC,H,SDP,W,3,1,NA,6-4,1,up 0.5,Imanaga,Vásquez,Pressly,02:38:00,D,40244,1.01,4,NA,2025
11,2025-04-05,CHC,H,SDP,W,7,1,NA,7-4,1,up 1.0,Boyd,Pivetta,NA,02:47:00,D,35391,1.09,5,NA,2025
12,2025-04-06,CHC,H,SDP,L,7,8,NA,7-5,1,up 1.0,Adam,Pressly,Suarez,03:16:00,D,33941,1.1,-1,NA,2025
13,2025-04-07,CHC,H,TEX,W,7,0,NA,8-5,1,up 1.5,Steele,Eovaldi,NA,02:13:00,N,27017,0.99,1,NA,2025
14,2025-04-08,CHC,H,TEX,W,10,6,NA,9-5,1,up 1.5,Hodge,Martin,NA,02:43:00,N,27694,1.01,2,NA,2025
15,2025-04-09,CHC,H,TEX,L,2,6,NA,9-6,1,up 0.5,Mahle,Imanaga,NA,02:16:00,D,23590,1.06,-1,NA,2025
22,2025-04-18,CHC,H,ARI,W,13,11,NA,13-9,1,up 1.0,Pressly,Mantiply,NA,03:09:00,D,39109,1.1,1,NA,2025
23,2025-04-19,CHC,H,ARI,W,6,2,NA,14-9,1,up 2.0,Thielbar,Gallen,NA,02:35:00,D,36002,1.13,2,NA,2025
24,2025-04-20,CHC,H,ARI,L,2,3,11,14-10,1,up 1.0,Miller,Wicks,Jameson,03:15:00,D,29062,1.14,-1,NA,2025
25,2025-04-22,CHC,H,LAD,W-wo,11,10,10,15-10,1,up 1.5,Hodge,Davis,NA,03:21:00,N,36425,1.18,1,NA,2025
26,2025-04-23,CHC,H,LAD,W,7,6,NA,16-10,1,up 2.5,Boyd,Dreyer,Hodge,02:40:00,N,37150,1.19,2,NA,2025
27,2025-04-25,CHC,H,PHI,W,4,0,NA,17-10,1,up 3.5,Rea,Walker,NA,02:54:00,D,32880,1.22,3,NA,2025
28,2025-04-26,CHC,H,PHI,L,4,10,NA,17-11,1,up 2.5,Luzardo,Brown,NA,02:58:00,D,40068,1.25,-1,NA,2025
29,2025-04-27,CHC,H,PHI,L,1,3,10,17-12,1,up 1.5,Alvarado,Merryweather,Romano,02:45:00,N,35761,1.18,-2,NA,2025
36,2025-05-05,CHC,H,SFG,W,9,2,NA,22-14,1,up 4.0,Boyd,Roupp,NA,02:23:00,N,36834,1.28,1,NA,2025
37,2025-05-06,CHC,H,SFG,L,5,14,11,22-15,1,up 3.0,Miller,Pressly,NA,03:25:00,N,37303,1.27,-1,NA,2025
38,2025-05-07,CHC,H,SFG,L,1,3,NA,22-16,1,up 3.0,Ray,Brown,Walker,02:40:00,D,31889,1.26,-2,NA,2025
42,2025-05-12,CHC,H,MIA,W,5,2,NA,24-18,1,up 1.0,Rea,Quantrill,Pomeranz,02:36:00,N,32271,1.18,1,NA,2025
43,2025-05-13,CHC,H,MIA,W-wo,5,4,NA,25-18,1,up 1.5,Flexen,Tinoco,NA,02:42:00,N,38083,1.13,2,NA,2025
44,2025-05-14,CHC,H,MIA,L,1,3,NA,25-19,1,up 1.0,Weathers,Taillon,Tinoco,02:11:00,N,34167,1.19,-1,NA,2025
45,2025-05-16,CHC,H,CHW,W,13,3,NA,26-19,1,up 1.0,Horton,Smith,NA,02:52:00,D,40171,1.16,1,NA,2025
46,2025-05-17,CHC,H,CHW,W,7,3,NA,27-19,1,up 1.0,Boyd,Burke,NA,02:51:00,D,40134,1.16,2,NA,2025
47,2025-05-18,CHC,H,CHW,W,6,2,NA,28-19,1,up 2.0,Pomeranz,Cannon,NA,02:38:00,D,40152,1.22,3,NA,2025
54,2025-05-26,CHC,H,COL,W,3,1,NA,33-21,1,up 3.0,Taillon,Palmquist,Palencia,02:26:00,D,40171,1.26,2,NA,2025
55,2025-05-27,CHC,H,COL,W-wo,4,3,11,34-21,1,up 3.0,Flexen,Kinley,NA,03:00:00,N,33099,1.24,3,NA,2025
56,2025-05-28,CHC,H,COL,W,2,1,NA,35-21,1,up 3.0,Boyd,Gordon,Palencia,02:20:00,N,33748,1.27,4,NA,2025
57,2025-05-30,CHC,H,CIN,L,2,6,NA,35-22,1,up 3.0,Abbott,Rea,Pagán,02:24:00,D,36019,1.34,-1,NA,2025
58,2025-05-31,CHC,H,CIN,W,2,0,NA,36-22,1,up 3.0,Keller,Ashcraft,Palencia,02:18:00,D,39144,1.4,1,NA,2025
59,2025-06-01,CHC,H,CIN,W,7,3,NA,37-22,1,up 4.0,Taillon,Martinez,NA,02:40:00,D,40179,1.39,2,NA,2025
69,2025-06-12,CHC,H,PIT,W,3,2,NA,42-27,1,up 5.5,Taillon,Heaney,Pressly,02:07:00,N,40174,1.3,1,NA,2025
70,2025-06-13,CHC,H,PIT,L,1,2,10,42-28,1,up 4.5,Santana,Pomeranz,Bednar,02:51:00,D,39457,1.28,-1,NA,2025
71,2025-06-14,CHC,H,PIT,W,2,1,NA,43-28,1,up 5.5,Boyd,Borucki,Palencia,02:10:00,D,39554,1.33,1,NA,2025
72,2025-06-15,CHC,H,PIT,W-wo,3,2,10,44-28,1,up 5.5,Flexen,Bednar,NA,02:31:00,D,40162,1.33,2,NA,2025
73,2025-06-17,CHC,H,MIL,W,5,3,NA,45-28,1,up 6.5,Brown,Patrick,Palencia,02:26:00,N,38687,1.45,3,NA,2025
74,2025-06-19,CHC,H,MIL,L,7,8,NA,45-29,1,up 5.5,Peralta,Taillon,Megill,02:50:00,D,41078,1.41,-1,NA,2025
75,2025-06-20,CHC,H,SEA,L,4,9,NA,45-30,1,up 4.5,Bazardo,Thielbar,NA,02:52:00,D,40787,1.29,-2,NA,2025
76,2025-06-21,CHC,H,SEA,W,10,7,NA,46-30,1,up 4.5,Keller,Hancock,NA,03:09:00,D,39047,1.36,1,NA,2025
77,2025-06-22,CHC,H,SEA,L,6,14,NA,46-31,1,up 3.5,Gilbert,Rea,NA,02:55:00,D,36185,1.31,-1,NA,2025
85,2025-07-01,CHC,H,CLE,W,5,2,NA,50-35,1,up 2.5,Boyd,Williams,Palencia,02:26:00,N,38257,1.36,1,NA,2025
86,2025-07-02,CHC,H,CLE,W,5,4,NA,51-35,1,up 3.0,Imanaga,Bibee,Palencia,02:57:00,N,35250,1.39,2,NA,2025
87,2025-07-03,CHC,H,CLE,W-wo,1,0,10,52-35,1,up 4.0,Flexen,Clase,NA,02:44:00,N,38450,1.36,3,NA,2025
88,2025-07-04,CHC,H,STL,W,11,3,NA,53-35,1,up 4.0,Rea,Mikolas,NA,02:23:00,D,40038,1.53,4,NA,2025
89,2025-07-05,CHC,H,STL,L,6,8,NA,53-36,1,up 4.0,Matz,Keller,Helsley,02:52:00,D,40119,1.5,-1,NA,2025
90,2025-07-06,CHC,H,STL,W,11,0,NA,54-36,1,up 4.0,Boyd,Fedde,NA,03:10:00,N,40319,1.56,1,NA,2025
97,2025-07-18,CHC,H,BOS,W,4,1,NA,58-39,1,up 1.0,Rea,Giolito,Palencia,02:35:00,D,41011,1.35,3,NA,2025
98,2025-07-19,CHC,H,BOS,W,6,0,NA,59-39,1,up 1.0,Imanaga,Bello,NA,02:27:00,N,40703,1.31,4,NA,2025
99,2025-07-20,CHC,H,BOS,L,1,6,NA,59-40,1,Tied,Crochet,Pressly,NA,02:37:00,D,40433,1.23,-1,NA,2025
100,2025-07-21,CHC,H,KCR,L,4,12,NA,59-41,2,1.0,Cameron,Brown,NA,02:35:00,N,38117,1.2,-2,NA,2025
101,2025-07-22,CHC,H,KCR,W,6,0,NA,60-41,1,Tied,Boyd,Hill,NA,02:28:00,N,40092,1.3,1,NA,2025
102,2025-07-23,CHC,H,KCR,L,4,8,NA,60-42,2,1.0,Lugo,Rea,NA,02:30:00,D,38624,1.3,-1,NA,2025
109,2025-08-01,CHC,H,BAL,W,1,0,NA,64-45,2,1.0,Horton,Rogers,Palencia,01:49:00,D,40520,1.29,2,NA,2025
110,2025-08-02,CHC,H,BAL,L,3,4,NA,64-46,2,2.0,Wolfram,Thielbar,Akin,02:47:00,D,40781,1.33,-1,NA,2025
111,2025-08-03,CHC,H,BAL,W-wo,5,3,NA,65-46,2,2.0,Palencia,Akin,NA,02:50:00,D,39430,1.24,1,NA,2025
112,2025-08-04,CHC,H,CIN,L,2,3,NA,65-47,2,3.0,Barlow,Brasier,Pagán,02:33:00,N,37937,1.25,-1,NA,2025
113,2025-08-05,CHC,H,CIN,L,1,5,NA,65-48,2,4.0,Littell,Kittredge,NA,02:36:00,N,39797,1.27,-2,NA,2025
114,2025-08-06,CHC,H,CIN,W,6,1,NA,66-48,2,4.0,Horton,Abbott,NA,02:18:00,D,37648,1.34,1,NA,2025
121,2025-08-15,CHC,H,PIT,L,2,3,NA,68-53,2,9.0,Santana,Palencia,NA,02:29:00,D,40044,0.85,-2,NA,2025
122,2025-08-16,CHC,H,PIT,W,3,1,NA,69-53,2,9.0,Kittredge,Sisk,Keller,02:15:00,D,40062,0.74,1,NA,2025
123,2025-08-17,CHC,H,PIT,W,4,3,NA,70-53,2,8.0,Thielbar,Mattson,Kittredge,02:41:00,D,38012,0.66,2,NA,2025
124,2025-08-18,CHC,H,MIL,L,0,7,NA,70-54,2,9.0,Peralta,Horton,NA,02:38:00,D,38971,0.9,-1,NA,2025
125,NA,CHC,H,MIL,W,6,4,NA,71-54,2,7.0,Boyd,Patrick,Palencia,02:33:00,D,33103,0.79,1,NA,2025
126,NA,CHC,H,MIL,W,4,1,NA,72-54,2,7.0,Taillon,Woodruff,Kittredge,02:33:00,N,34540,0.82,2,NA,2025
127,2025-08-20,CHC,H,MIL,W,4,3,NA,73-54,2,6.0,Rea,Misiorowski,Palencia,02:29:00,N,36327,0.75,3,NA,2025
128,2025-08-21,CHC,H,MIL,L,1,4,NA,73-55,2,7.0,Mears,Imanaga,Megill,02:51:00,D,37850,1.11,-1,NA,2025
138,2025-09-01,CHC,H,ATL,W-wo,7,6,10,79-59,2,5.5,Kittredge,Brebbia,NA,03:10:00,D,39673,0.64,1,NA,2025
139,2025-09-02,CHC,H,ATL,W,4,3,NA,80-59,2,5.0,Imanaga,Wentz,Palencia,02:33:00,N,32618,0.72,2,NA,2025
140,2025-09-03,CHC,H,ATL,L,1,5,NA,80-60,2,6.0,Elder,Brown,NA,02:25:00,N,31933,0.77,-1,NA,2025
141,2025-09-05,CHC,H,WSN,W,11,5,NA,81-60,2,5.5,Assad,Irvin,NA,02:40:00,D,32320,0.65,1,NA,2025
142,2025-09-06,CHC,H,WSN,L,1,2,NA,81-61,2,6.5,Lord,Boyd,Henry,02:23:00,D,38011,0.6,-1,NA,2025
143,2025-09-07,CHC,H,WSN,L,3,6,NA,81-62,2,7.5,Thompson,Palencia,Ferrer,02:30:00,D,33343,0.44,-2,NA,2025
147,2025-09-12,CHC,H,TBR,W,6,4,NA,84-63,2,5.5,Boyd,Baz,Kittredge,02:47:00,D,38794,0.5,3,NA,2025
148,2025-09-13,CHC,H,TBR,L,4,5,NA,84-64,2,6.5,Baker,Keller,Fairbanks,02:37:00,D,39712,0.38,-1,NA,2025
149,2025-09-14,CHC,H,TBR,W,4,3,NA,85-64,2,5.5,Assad,Uceta,Kittredge,02:38:00,D,37186,0.29,1,NA,2025
157,2025-09-23,CHC,H,NYM,L,7,9,NA,88-69,2,6.5,Raley,Thielbar,Díaz,02:57:00,N,35729,0.23,-5,NA,2025
158,2025-09-24,CHC,H,NYM,W,10,3,NA,89-69,2,6.5,Boyd,Tong,Civale,02:41:00,N,35060,0.4,1,NA,2025
159,2025-09-25,CHC,H,NYM,L,5,8,NA,89-70,2,7.0,McLean,Imanaga,Díaz,02:40:00,N,38465,0.28,-1,NA,2025
160,2025-09-26,CHC,H,STL,W,12,1,NA,90-70,2,6.0,Rea,Mikolas,NA,02:39:00,D,35611,0.34,1,NA,2025
161,2025-09-27,CHC,H,STL,W,7,3,NA,91-70,2,5.0,Taillon,McGreevy,NA,02:36:00,D,38035,0.29,2,NA,2025
162,2025-09-28,CHC,H,STL,W,2,0,NA,92-70,2,5.0,Assad,King,Wicks,02:02:00,D,37497,0.02,3,NA,2025
