"gvkey","conm","price_2023","price_2024","eps_2023","eps_2024"
"315808","ALTO METALS LTD",0.046,0.064,-0.0044,-0.0027
"016560","ALUMINA LTD",1.42,NA,-0.0517,NA
"349977","ALVO MINERALS LTD",0.14,NA,-0.0684,NA
"278786","AMA GROUP LTD",0.042,0.057,-0.1346,-0.0019
"335486","AMAERO INTERNATIONAL LTD",0.215,0.4,-0.0362,-0.039
"281815","AMANI GOLD LTD",0.001,0.001,-1e-04,-2e-04
"272783","AMBERTECH LTD",0.21,0.19,0.0207,0.0144
"296881","AMERICAN RARE EARTHS LTD",0.15,0.2925,-0.0111,-0.0135
"351210","AMERICAN WEST METALS LIMITED",0.14,0.11,-0.0557,-0.0377
"337597","AML3D LIMITED",0.085,0.155,-0.0268,-0.0167
"101568","AMOTIV LIMITED",11.77,10.45,0.6999,0.7084
"316964","AMPLIA THERAPEUTICS LTD",0.062,NA,-0.0232,NA
"253322","AMPLITUDE ENERGY LIMITED",0.12,0.185,-0.0261,-0.0433
"102903","AMPOL LTD",39.79,NA,2.3042,NA
"274741","ANAGENICS LIMITED",0.023,0.008,-0.0066,-0.0183
"319299","ANATARA LIFESCIENCES LTD",0.028,0.07,-0.0207,-0.0097
"271287","ANAX METALS LTD",0.036,0.022,-0.007,-0.0056
"350169","ANDEAN SILVER LIMITED",0.27,1.24,-0.0433,-0.1498
"247360","ANDROMEDA METALS LTD",0.021,0.007,-0.003,-0.0023
"345765","ANSARADA GROUP LTD",1.415,2.49,-0.0565,-0.013
"014242","ANSELL LTD",22.13,31.81,1.1742,0.5944
"295007","ANSON RESOURCES LTD",0.14,0.077,-0.0109,-0.0077
"247996","ANTEOTECH LTD",0.026,0.021,-0.0063,-0.004
"271295","ANTERIS TECHNOLOGIES LTD",23.48,NA,-4.3146,NA
"275548","ANTILLES GOLD LTD",0.02,NA,-0.0069,NA
"297281","ANTIPA MINERALS LTD",0.013,0.024,-9e-04,-6e-04
"015889","ANZ GROUP HOLDINGS LIMITED",25.92,NA,1.53,NA
"242536","APA GROUP",8.3,7.76,0.2229,0.7731
"320967","APIAM ANIMAL HEALTH LTD",0.34,0.42,0.013,0.0276
"351224","APM HUMAN SERVICES INTL LTD",1.845,1.445,0.1171,-0.2407
"287178","APOLLO MINERALS LTD",0.027,0.025,-0.0081,-0.0047
"318978","APPEN LTD",0.585,NA,-0.831,NA
"349769","AQUIRIAN LIMITED",0.18,0.19,0.0068,-0.0081
"259060","ARAFURA RARE EARTHS LIMITED",0.26,0.175,-0.0505,-0.0456
"211528","ARB CORP",31.28,47.5,1.0792,1.2491
"285927","ARCHER MATERIALS LTD",0.475,0.225,-0.0361,-0.0188
"327944","ARCHTIS LTD",0.11,0.0695,-0.0299,-0.0149
"322600","ARDEA RESOURCES LTD",0.6,0.405,-0.0248,-0.0386
"274454","ARDIDEN LTD",0.006,0.135,0.0059,-0.1631
"348566","ARGENICA THERAPEUTICS LTD",0.375,0.715,-0.055,-0.0528
"282091","ARGENT BIOPHARMA LIMITED",0.002,0.35,-0.0071,-0.4737
"290315","ARGENT MINERALS",0.011,0.018,-0.0036,-0.0016
"105420","ARGOSY MINERALS LTD",0.135,NA,-0.0076,NA
"274926","ARIKA RESOURCES LIMITED",0.002,0.028,-0.001,-2e-04
"212628","ARISTOCRAT LEISURE LTD",40.82,NA,2.2249,NA
"221178","ARIZONA LITHIUM LIMITED",0.015,0.015,-0.0058,-0.0065
"297614","ARK MINES LTD",0.175,0.185,-0.0223,-0.0217
"312461","ARMOUR ENERGY LTD",0.12,NA,-0.0086,NA
"339154","AROA BIOSURGERY LTD",0.5975,NA,-0.0309,NA
"253353","AROVELLA THERAPEUTICS LTD",0.068,0.155,-0.0143,-0.0093
"274466","ARROW MINERALS LTD",0.005,NA,-3e-04,NA
"283014","ARTEMIS RESOURCES LTD",0.028,0.013,-0.0117,-0.01
"321653","ARTICORE GROUP LIMITED",0.465,0.395,-0.1959,-0.0314
"350957","ARTRYA LIMITED",0.21,0.26,-0.1421,-0.178
"295125","ARUMA  RESOURCES LTD",0.036,0.016,-0.0192,-0.0057
"208001","ASARA RESOURCES LIMITED",0.026,0.015,-0.0186,-0.0019
"318223","ASHLEY SERVICES GROUP LTD",0.505,0.185,0.075,0.0094
"348989","ASKARI METALS LTD",0.185,0.022,-0.1044,-0.0629
"253505","ASPERMONT LTD",0.009,NA,-7e-04,NA
"282583","ASPIRE MINING LTD",0.09,NA,-7e-04,NA
"316763","ASSET VISION CO LIMITED",0.009,0.028,-0.0123,-1e-04
"298137","ASSETOWL LTD",0.001,0.001,-0.0023,-3e-04
"271332","ASSOCIATE GLOBAL PARTNERS",0.21,0.14,-0.0411,-0.0149
"298142","ASTON MINERALS LIMITED",0.03,0.014,-0.0229,-0.0046
"212418","ASTRAL RESOURCES NL",0.084,0.12,-0.0057,-0.0032
"024433","ASTUTE METALS NL",0.037,0.027,-0.0119,-0.0101
"281755","ATHENA RESOURCES LTD",0.006,0.006,-7e-04,-7e-04
